,Avg_speed,Lane_speeds,Cars_in_lane
273,87.77106382978724,"[85.77290322580644, 91.05882352941177, 94.95]","[155, 68, 12]"
274,87.73474576271187,"[86.76, 90.3, 84.9857142857143]","[150, 72, 14]"
275,87.68898305084745,"[86.90259740259741, 89.35890410958905, 87.6]","[154, 73, 9]"
276,87.68354430379748,"[87.54117647058824, 87.168, 94.4]","[153, 75, 9]"
277,87.64033613445378,"[86.98026315789474, 87.93243243243244, 94.2]","[152, 74, 12]"
278,87.78,"[85.99615384615386, 92.12727272727273, 79.71428571428571]","[156, 77, 7]"
279,88.19253112033195,"[87.87692307692308, 87.90810810810811, 94.58181818181819]","[156, 74, 11]"
280,87.87272727272727,"[86.97324840764331, 88.64383561643835, 94.95]","[157, 73, 12]"
281,87.58518518518518,"[86.47826086956522, 90.41538461538462, 87.24705882352941]","[161, 65, 17]"
282,87.22962962962963,"[85.97368421052632, 89.17105263157895, 90.12]","[152, 76, 15]"
283,87.17877551020409,"[86.74615384615385, 88.17534246575343, 86.85000000000001]","[156, 73, 16]"
284,86.67183673469387,"[84.96687898089172, 90.48, 85.2923076923077]","[157, 75, 13]"
285,85.95183673469387,"[84.06335403726708, 91.7, 76.8]","[161, 72, 12]"
286,86.06341463414634,"[84.6343949044586, 88.8379746835443, 86.58]","[157, 79, 10]"
287,86.31255060728746,"[84.09375, 90.7012987012987, 88.02]","[160, 77, 10]"
288,86.23238866396761,"[84.32560975609756, 90.02465753424657, 89.82]","[164, 73, 10]"
289,85.91902834008097,"[83.79759036144578, 91.29295774647888, 82.98]","[166, 71, 10]"
290,85.95180722891567,"[84.50181818181818, 89.82972972972973, 81.18]","[165, 74, 10]"
291,85.95360000000001,"[83.45853658536586, 91.63636363636364, 82.8]","[164, 77, 9]"
292,86.37131474103585,"[84.6867469879518, 89.45316455696202, 92.4]","[166, 79, 6]"
293,86.53571428571428,"[84.60000000000001, 91.2, 87.54545454545455]","[172, 69, 11]"
294,87.20395256916996,"[85.97777777777777, 89.28888888888889, 90.18]","[162, 81, 10]"
295,87.25748031496063,"[85.13333333333334, 91.40963855421687, 87.2]","[162, 83, 9]"
296,87.48281250000001,"[84.38823529411765, 94.77600000000001, 85.58181818181819]","[170, 75, 11]"
297,87.13540856031129,"[85.08, 91.48235294117647, 82.8]","[165, 85, 7]"
298,87.16342412451363,"[85.35, 90.66666666666667, 89.775]","[168, 81, 8]"
299,87.32451361867705,"[86.33454545454545, 89.325, 87.6]","[165, 80, 12]"
300,87.13540856031129,"[86.67857142857143, 86.98378378378378, 93.0]","[168, 74, 15]"
301,86.72918287937743,"[85.80361445783133, 89.08831168831169, 84.72857142857143]","[166, 77, 14]"
302,87.04186046511627,"[86.37869822485207, 88.64415584415585, 86.10000000000001]","[169, 77, 12]"
303,86.95116279069768,"[87.27906976744187, 87.575, 79.71428571428571]","[172, 72, 14]"
304,87.05328185328185,"[87.80591715976331, 86.1923076923077, 82.05000000000001]","[169, 78, 12]"
305,86.61984732824428,"[86.45172413793104, 88.83243243243244, 77.01428571428572]","[174, 74, 14]"
306,86.37251908396946,"[86.60883977900552, 86.4, 83.18571428571428]","[181, 67, 14]"
307,86.28365019011407,"[84.87243243243243, 88.80000000000001, 96.0]","[185, 69, 9]"
308,86.4611320754717,"[86.59106145251397, 85.94430379746835, 88.97142857142858]","[179, 79, 7]"
309,86.70337078651686,"[86.17, 87.525, 89.16]","[180, 72, 15]"
310,87.37078651685393,"[86.0421052631579, 89.84050632911392, 89.25882352941176]","[171, 79, 17]"
311,87.54850746268657,"[85.58372093023256, 90.8888888888889, 92.04]","[172, 81, 15]"
312,87.84666666666666,"[86.16477272727272, 91.10249999999999, 90.38571428571429]","[176, 80, 14]"
